review_id,source_id,acronym,titre,resume_complet,mon_label,note
120,255783,ADOCHA,Acoustic Design Of High-lift Architectures,"Regulation of the sound production of aircraft is becoming stricter, in part due to an increase in the noise generated due to the rising numbers and size of aircraft. As a result identification and reduction of the major sources of sound, particularly in the take-off and landing phases when the aircraft is close to population centres, is paramount. High lift devices, particularly during the landing phase, are a major source of airframe noise. As a result there is a requirement for a tool to allow the acoustic properties of a high-lift configuration to be determined buring the design process. The purpose of this proposal is the development of such a tool.",,
121,737992,TAMI,Tests for leakage identification on Aircraft fluid Mechanical Installations,"The project aims to develop innovative methods to make on-ground leak testing more efficient, ecological and faster in aeronautical industry environments, reducing costs, time to market and toxic wastes due to standardization on test procedures and testing using non-polluting means.  The project will draw on TQC's in-depth knowledge of leak testing techniques, our wide experience of fluid mechanics and applied sealing systems that have been used to test aircraft fuel tanks, fuel transfer systems, aircraft hydraulics, fire extinguisher systems and leading edge ducts on the latest aircraft structures that use modern materials.Recently TQC has constructed complete sophisticated PC based control systems for leak testing fully constructed wings using a) tracer gas (Helium and Hydrogen) techniques for fuel tanks and fuel transfer systems, b) complete wing hydraulic testers for flushing at a Re No. 4,500 with particle size monitoring and then pressure testing to 4,500 psi using Skydrol, and c) testing lower pressure systems for leading edge duct, gas inerting and for fire extinguisher systems using pressure decay techniques.TQC has a significant portfolio of leak testing projects in a range of industries including aerospace, automotive, nuclear, medical device, pharmaceuticals and renewable energies.  Our Engineers are experienced in the use of:-1. Tracer gas;  hydrogen gas handling and the use of hydrogen sniffing sensors, helium and the engineering of sophisticated high pressure systems combined with high vacuum helium mass spectrometers for high production throughput short time cycle testing of aircraft fuel transfer systems2. Differential pressure decay systems for testing smaller test volume parts.3. Pressure decay systems for testing larger test volume parts and pipework systems.4. Ultrasonic bubble mapping for the testing of automotive fuel tank systems.5. Air under water systems for visual observation of leaks.",,
122,323336,LIGHTBOX,LIGHTWEIGHT COMPOSITE BUS SYSTEM HOUSING FOR EXTREME ENVIRONMENTS,"Conventional racks for avionics are made from metal. Most of the avionics fielded today offer a monolithic architecture in form closed box packed with electronics and lots of connectors at the front or the back with corresponding heavy cable harness. More recent developments go for modular avionics, packing electronics with standard dimensions and connectors that assure physical interchangeability.The proper housing protects the electronics against the environment, ensures EMC and supports the thermal management. In order to reach higher power density and lower costs the optimisation of the housing is a must.The amount of electronically controlled tasks in modern aircraft is increasing steadily and also the contribution of racks for avionics to the overall weight of an aircraft has reached a magnitude that requires an analysis to obtain mass reduction.Modern structures built in composite technology are able to provide important mass savings with respect to conventional designs. The advantages of high performance composites are many, including lighter weight, the ability to tailor lay-ups for optimum strength and stiffness, improved fatigue life, corrosion resistance and, with good design practice, reduced assembly costs due to fewer detail parts and fasteners.Composite enclosures can be made significantly lighter than machined aluminium enclosures and may be produced at an affordable cost provided a modular approach is followed while possessing equal or better mechanical and thermal performance.The objective of the present work is the development of a lightweight “open box” ARINC housing (ARINC standards) which withstands vibration levels C/C1 according to RTCO-DO160.A lightweight and modular composite solution is proposed. Using advanced fibre-reinforced composite materials, a 40 % of weight reduction in the housing is estimated.""""",,
123,101114776,ImAFUSA,Impact and capacity Assessment Framework for U-space Societal Acceptance,"ImAFUSA focuses on quantifying a variety of understudied factors influencing societal acceptance of UAM in urban, peri-urban and inter-urban areas, especially when these are deployed using U3 and U4 services. We aim to deliver an “Impact and capacity Assessment Framework for U-space Societal Acceptance” (ImAFUSA) to assist Local Authorities and other U-space stakeholders and users with the delivery of socially acceptable and beneficial UAM deployment in cities. The framework and its tools will provide insights in 3 major areas influencing societal acceptance: environmental impact (including noise, visual pollution and air quality), safety and socioeconomic impact (including affordability, accessibility, economic development, public space use and connectivity). In each area, innovative performance indicators will be described while mathematical formulas and algorithms will be developed to quantify them. Data on citizen noise perceptions, perceptions on visual pollution, safety perceptions and overall UAM acceptance will be collected during 3 immersive citizen experiences of UAM applications in the city of Athens, Greece. The usability of the developed indicators will be tested in a simulation environment simulating real future use cases with a varying volume and configuration of movements in U-space. Through the collaboration of the Partners and the Advisory Board, ImAFUSA facilitates the flow and co-creation of knowledge and 10 innovative tools between higher education (HEI), innovative SMEs, Local Authorities and National Aviation Authorities. ImAFUSA´s developments benefit a variety of stakeholders including Local Authorities, policy-makers, U-space service providers, ATM/UTM planners and operators, drone manufacturers, environmental agencies and citizens above all.",,
124,213414,FUTURE,Flutter-Free Turbomachinery Blades,"FUTURE brings together European and international well reputed centres-of-excellence in order to reach major scientific & technical objectives in striving towards flutter-free turbomachine blades. By advancing the state-of-the-art in flutter prediction capabilities and design rules, the FUTURE project will lead to benefits in terms of decreased development cost, reduced weight and fuel consumption, and increased ability to efficiently manage flutter problems occurring on engines at service.  Eight interconnected turbine and compressor experiments will be performed in the project, in combination with numerical modelling of vibrating blades and the related unsteady aerodynamics. Cascade experiments will be employed to study unsteady aerodynamic properties in detail. These tests are supporting more complex rotating turbomachinery tests (turbine and compressor) to study the addressed phenomenon in engine-typical environment. The knowledge from both component tests will be then condensed into “best practice” for both experimental and computational (CFD) set-ups, and will be used towards a combined effort of physical understanding of travelling waves and interferences between the vibrating structures and the surrounding fluid. The acquired knowledge is aimed to be employed by the aeroelastic specialists in the companies, research institutes and universities to identify updated and better aeromechanical design rules.  In the process of reaching this unique knowledge status a sophisticated, not yet available, measuring technique will be developed, and a new excitation mechanism will be implemented as back-up to the free-flutter experiments. Furthermore, a unique database with combined structural and unsteady aerodynamic results will be established and made available for further dissemination among the partners. This database will contain significantly more detailed data than any other existing database in the world.",,
125,821466,HIPNOSIS,Hardware Implementation of Pilot-Non-intrusive cOgnitive States Identification System,"With ever increasing air traffic and the fierce competition between airlines, cost reduction is exerting more and more pressure on airlines, inevitably transferred to pilots whose profession becomes increasingly demanding. The adoption of new ground technologies has the potential to increase safety while decreasing operating costs. Platform 3 of LPA IADP aims to develop disruptive flight-qualified cockpit operations concepts by a major design re-thinking towards a “human-centric” approach to operate aircrafts. The ultimate goal is to reduce crew workload, improve fatigue-related safety, situational awareness and support disruptive cockpit operations.HIPNOSIS will contribute to develop the next generation cockpit by providing a hardware and software implementation of smart sensors to monitor cognitive states such as drowsiness and fatigue, which will allow a great leap in flight safety. HIPNOSIS approach is to implement two sensing systems: (1) a vision-based system integrated in the cockpit dashboard to continuously monitor the pilots in the cockpit and detect suspicious behavior linked to drowsiness and (2) a smart wristband which will sense several bio signals through advanced optical sensing technologies, before, during and after the flight. The system will be interfaced to a “pilot state monitoring system” resulting from a previous development in Platform 3 of the IADP. The system design shall be compliant with aircraft cockpit installation, the operational environment and pre-certification requirements to reach TRL6, which will be verified after successful deployment in a Falcon 7X cockpit.The HIPNOSIS consortium brings together partners able to cover the whole value chain of innovative product development: SERMA Engineering (F), an OEM for aeronautical equipment, CSEM (CH), an RTO experienced in innovative technologies and INNOV+ (F) a startup company developing and selling standalone systems for cognitive states monitoring for the automotive industry.",,
126,101255537,OSYRYS,On-board SYstems Relevant for hYbridization of Regional aircraftS,"The achievement of the ACARE emission reduction targets, in combination with the projected growth in new aircraft deliveries, requires the aviation industry to do a further step, by drastically shifting towards electric/hybrid-electric propulsion also for larger aircraft, thus resulting into high electrical power distribution levels. The latter introduce new challenges in terms of electrical power generation & distribution, thermal management and energy management technologies to safely manage on board electrical power at these MW power levels. As a continuation of HECATE and TheMa4HERA projects, the OSYRYS consortium is uniquely positioned for the development and maturation of these technologies, targeting testing and integrated demonstration at TRL6 of electrical power generation & distribution solutions, thermal management solutions and avionics solutions for energy management relevant for future Ultra Efficient Hybrid Electric Regional Aircraft, in line with the objectives of REG-02 and the Clean Aviation SRIA.The OSYRYS consortium unites 14 industries of which 2 aircraft OEMs (ATR and AIRBUS), 5 SMEs and the others, including the coordinator, are industry leaders on aerospace electrical power generation and distribution system, but also thermal and avionics systems. This is complemented by 6 RTO institutions. 4 organizations are newcomers of which 2 are newcomers to aeronautics, providing spin-in from other industries or research fields. The participants are spread over 7 European countries.This ambitious 60-months programme, valued 55,5 MEuros for a grant request of 40 MEuros, will be implemented in tight relationship with REG-01, REG-03 and ACI-01 topics.",,
127,314544,RECONFIGURE,REconfiguration of CONtrol in Flight for Integral Global Upset REcovery,"Commercial aircraft fault tolerant control (FTC) strategies in the flight control system (FCS) are based on fail-safe approaches whereby a nominal control law is switched first to a robust solution and then if necessary to a direct law controlling the actuators surfaces. Each component of the control law set is designed off-line and has a different level of robustness and performance. The reasons for this conservative FTC approach are:1. Lack of demonstrated maturity of reconfigurable guidance and control (G&C) methods for commercial aircraft.2. Lack of research in the practical interaction limitations between reconfigurable G&C systems and estimation / diagnostic systems.3. A definite gap on the clearance problem for such G&C systems.The goal of RECONFIGURE is to investigate and develop aircraft G&C technologies that facilitate the automated handling of off-nominal events and optimize the aircraft status and flight while maintaining, or even improving, its safety level. These technologies will extend the operation of the current G&C functionalities that assist the pilot and optimize the aircraft performance. Thus, the aim is to provoke a change in aircraft transport towards: “Full-time, all-event availability of performance-enhancement electrical fly-by-wire”This will be achieved by developing:- Advanced parameter and fault estimation/diagnosis approaches.- Reconfigurable G&C approaches.- Integration and integrated approaches for estimation, diagnosis and G&C.- Advanced clearance approaches for such systems.The investigation will focus on off-nominal/abnormal event scenarios directly affecting the aircraft flight control system. The techniques will offer the capability to adjust and adapt to the abnormal event during flight.",,
128,820516,FIVER,"Innovative solution for FMS computed trajectories validation by means of pilot actions emulation, comparison with PANS-OPS criteria and data mining techniques.","This proposal combines the skills of CGX AERO in procedure design, cartography and aeronautical software development with the expertise of SCALIAN EUROGICIEL in big data and data mining techniques to set up an innovative platform for a new philosophy of FMS trajectories validation.The consortium proposes to address first a larger scale of trajectories testing by gathering reference trajectories, directly issued from procedure designers and validated by the customers as well as providing scripts emulating pilot actions (virtual crew module), resulting in the generation of a large number of computed trajectories. CGX AERO's expertise in procedure design will allow finding out the right moments during the flight and the right places along the flight procedures where to insert the perfect and unexpected/imperfect actions from the crew, to obtain the most relevant panel of trajectories.To address the comparison between a FMS computed trajectory and a theoretical trajectory, a set of algorithms based on procedure Ground Validation (data integrity, business rules verification, ARINC 424 coding rules, 4D simulation, obstacle assessment) and on-the-fly computation of PANS-OPS Protection Areas will be defined. This will ensure finding the correct threshold beyond which an outlier comes from a procedure design issue instead of a FMS computation issue.SCALIAN EUROGICIEL's expertise in big data and data mining techniques will allow setting up a data warehouse, with data analytics tools in order to run and store the results of the millions of trajectory comparisons that will be performed.",,
129,892002,SINAPSE,"Software defined networking architecture augmented with Artificial Intelligence to improve aeronautical communications performance, security and efficiency","The SINAPSE project aims at proposing an intelligent and secured aeronautical datalink communications network architecture design based on the Software Defined Networking (SDN) architecture model augmented with Artificial Intelligence (AI) to predict and prevent safety services outages, to optimize available network resources and to implement cybersecurity functions protecting the network against digital attacks",,
130,255730,ASE-TB,"Design and development of an Adaptive, Smart and Eco-efficient Test Bench for synchronized testing of linear actuators in the aeronautic sector","The ASE-TB project will design, manufacture and tune an innovative and smart Test Bench for linear actuators that will be capable of conducting synchronized tests on two linear actuators of the same type while applying different loads on them. The test bench will also include a thermal chamber for conducting tests at regulated temperatures with one of the actuators. This actuator test bench will be based on a modular, eco-efficient and adaptive concept by integrating easily exchangeable hydraulic and mechanical components with sensors and control strategies that will allow automatic and autonomous safety controls as well as energy saving approaches that will assure optimised lifecycle costs and environmental impacts during endurance tests. This innovative concept of actuator test bench will mean thus a positive impact on the safety and working conditions of the end users of the Test Bench as well as a reduction in the time and costs associated to testing linear actuators together with an increase in the quality and reliability of said tests.",,
131,101101946,fLHYing tank,flight demonstration of a Liquid HYdrogen load-bearing tank in an unmanned cargo platform,"The fLHYing tank project aims to flight-test a 1,000-liter flight-load-bearing vacuum-insulated composite LH2 tank in the Pipistrel Nuuva V300 cargo UAV. This project proposal is disruptive in several perspectives: (i) definition of requirements, design, manufacturing and qualification of a relevant-scale flight-load-bearing fully composite liquid hydrogen tank, (ii) accelerated acquisition of knowledge via flight-testing low-TRL hazardous technologies using UAVs, and (iii) effective application of the knowledge via calibration of a fluid-dynamic, thermal and structural digital twin of a composite LH2 tank using flight test data for advancement towards digitalized certification of aeronautical technologies.The fLHYing tank project covers the disruptive maturation of lightweight liquid hydrogen storage systems via the accelerated acquisition of knowledge on flight operation of LH2 tanks, as required by the demonstrator strategy of the Clean Aviation Strategic Research and Innovation Agenda.The main impact of the fLHYing tank project is the unprecedented reduction in the time-to-market of revolutionary technologies in the aeronautical industry, thanks to the ground-breaking fast-track flight testing of a relevant-scale composite LH2 storage system using a UAV, achieving comprehensive understanding of the behaviour of LH2 tanks in the flight environment within minimum timeframe, risk, and cost. This ambitious goal can be achieved within the 1st phase of the Clean Aviation Programme thanks to the fLHYing tank project.",,
132,101007871,HELACS,Holistic processes for the cost-effective and sustainable management of End of Life of Aircraft Composite Structures,"HELACS will be based on i) previous results of end of life aircraft management projects (such as PAMELA or AIMERE), ii) the review of recommendations and standards for aircraft disassembly and aircraft materials recycling (such as the developed for the Aircraft Fleet Recycling Association - AFRA) and iii) the experience and support of the biggest Maintenance, Repair and Overhaul (MRO) entity in Europe, Teruel Airport (PLATA), to implement a cost-competitive and energy efficient solution for dismantling and recycling Carbon Fibre Reinforced Polymer (CFRP) components. To do this, stakeholders of multiple areas of the aircraft designing, manufacturing and recycling value chain will collaborate during the project, through a Responsible Research and Innovation (RRI) approach.Thanks to this multiactor approach, HELACS will properly include the European Industry necessities when the current dismantling and recycling processes will be improved to properly manage CFRP components, now and in the future, by transferring innovative technologies and systems in two main pillars: •Flexible and Portable Robotic Platform with machine learning capabilities and dedicated tools for CFRP cutting and debonding •Recycling and valorisation technologies based on optimised pyrolysis processes for improving carbon fibre recycling yield and sizing formulation for improving carbon fibre functionalitiesDuring HELACS, these processes will be developed, validated and demonstrated in the Teruel airport facilities to improve the recyclability of CFRP components by 40%, increase workforce safety and satisfaction by 70%, allow the value retention of recycled carbon fibres by 85%, reduce the CO2 emissions by 50% and increase the profitability by 30%. Finally, the exploitation and dissemination of HELACS results will mobilise more than 30 € million and generate more than 750 new direct jobs by 2030 by transferring the new dismantling and recycling processes to the European Aeronautic value chain.",,
133,314335,JEDI ACE,Japanese-European De-Icing Aircraft Collaborative Exploration,"JEDI ACE aims to provide an innovative concept of an integrated ice protection system: an inte-grated approach, consisting of combined passive anti-icing coating, active de-icing devices and ice sensors. The system will be applicable to aircraft wings and will support an important technological milestone: the composite wing concept, which today includes also morphing properties.The JEDI ACE consortium, consisting of European and Japanese partners, determined three technical objectives for the integrated ice protection system:1.An active de-icing device based on electro-thermal and/or mechanical actuation, combined with supporting passive anti-icing coatings2.An ice sensor system for real-time measurements of ice accretion on aircraft structures,3.An integrated ice protection system with complementary components for excellent operation properties.The work in JEDI ACE will result in validated design concepts and lab-scale prototypes for the future generation of integrated ice protection systems.The design will contribute to:•prevention of ice buildup on leading edges,•improved in-flight ice assessment,•improved aircraft safety•reduced energy consumption during de-icing procedures,•reduced de-icing procedures on ground,•compliance with design constraints of composite wings including morphing properties,•compliance with bleed-air free engines and all-electric aircrafts,•compliance with other surface and coating requirements like resistance against erosionThe JEDI ACE consortium will develop evaluation devices for all determined objectives on the basis of newest scientific knowledge, combined with appropriate test sessions to validate the performance of the components and deliver the design concept of an integrated ice protection system. This ambitious goal will be achieved by combining the specific SoA competencies through close multinational collaboration.",,
134,755515,ALMAGIC,Aluminium and Magnesium Alloys Green Innovative Coatings,"The aeronautic industry is constantly striving to reduce the aircraft operating costs, increase their payload and reduce the environmental impact during the whole life of the product. Metallurgy has played a key role in the development of aviation. With the use of light alloys, as aluminium and magnesium, new applications have been found to apply these to fastly improve existing designs.The disadvantage of using these materials is that they are particularly susceptible to corrosion. Environmental degradation is a limiting factor for magnesium–aluminium (Mg–Al) alloys in outdoor applications. An effective way to protect alloys from fast degradation or reduce to the degradation rate is surface treatment. Hexavalent chromium has served as the primary means of corrosion protection in the aircraft industry since 1936 and allowed for the distinctive bare-metal finishes of the World War II era. Hexavalent chromium is a known carcinogen, with the major route of exposure through inhalation of vapours or dust. The chromates are among the current chemicals for which industrial users must find substitutes, or request authorisation from EU regulators to continue their use. In the case of chromium trioxide and the acids, the application deadline is March 2016 and the “sunset” date for the substances is September 2017.Therefore, there is an urgent need facing the aerospace industry to replace the conventional corrosion inhibitor, hexavalent chromium. Regulatory and market drivers are motivating a global effort in the aerospace industry to replace hexavalent chromium-containing materials with hexavalent chromium-free alternatives for various applications.ALMAGIC project is focused on solving the aforementioned problematic by validating the developed innovative alternatives to chromium(VI) coatings for aluminium and magnesium alloys. ALMAGIC will ensure the developed solutions comply with the REACH regulations, while all quality standards are met.",,
135,620068,MANOEUVRES,Manoeuvring Noise Evaluation Using Validated Rotor State Estimation Systems,"The MANOEUVRES project aims at the demonstration of the feasibility of an innovative approach to noise abatement in rotorcraft terminal manoeuvres based on in-flight measurement of the rotor state. In particular, a novel sensor system for rotor tip-path-plane angle of attack will be designed, developed and tested together with the necessary signal conditioning, in order to assess its capabilities in view of application on production helicopters. This sensor will be integrated on-board an actual helicopter for on-ground demonstrations and validation. Based on the availability of this new sensor, an algorithm will be developed that, together with other vehicle data (such as airspeed), will enable the run-time estimation of the emitted noise.  This algorithm will exploit an acoustic data prediction process resulting from a dedicated study, which includes the analysis of the dependency of acoustic emissions on actual (unsteady) flight conditions as based on steady, quasi-steady and full-unsteady approaches, as well as the examination of the sensitivity of the emitted noise with respect to perturbations of a given trajectory. The results from the acoustic prediction processes considered will be correlated with experimental data provided by the GRC5 consortium. A human-machine interface will be designed according to aeronautical standards to provide useful information to the pilot in terms of emitted noise, allowing for flying low noise procedures with improved awareness and effectiveness. Preliminary testing will be carried out to assess compliance of this noise indicator with piloting requirements. The team involves Politecnico di Milano technical university; University of Roma Tre; Vicoter, a SME specializing in mechanical design, analysis, and testing; and Logic, a SME specializing in the design, implementation and testing of certified software and hardware for aeronautics, including rotorcraft systems.",,
136,234092,AEROAFRICA-EU,Promoting European - South African Research Cooperation in Aeronautics and Air Transport,"The intention of this proposal is to create a platform for enhancing aeronautics and air transport research and development (R&D) cooperation between the EU and SA, and to explore the potential for and, where appropriate, to promote the participation of other African countries in such cooperation.  The overall objectives for AEROAFRICA are: • To explore the potential for enhancing cooperation through an analysis (mapping) of aeronautics and air transport R&D cooperation between the EU and SA, as well as other African countries; • To develop and enhance networks and partnerships between EU, SA and other African researchers and organisations in identified technical themes ideally suited for mutually beneficial aeronautics and air transport R&D cooperation. • To promote SA and African participation in the aeronautics and air transport activities of FP7 through focused information and advisory services, and • To establish an aeronautics and air transport R&D policy dialogue between the EU and SA, as well as other African partners, so as to also support economic and development cooperation.  The proposed AEROAFRICA initiative represents the first attempt to significantly capture the aeronautics and air transport capabilities and needs of the EU and SA in a complementary manner, useable as qualitative tools to enhance further co-operation.  AEROAFRICA’s success and impact assessment will be based on: • An overall increase in participation in FP7 by the SA and identified African aeronautics research communities; • Success in bringing about increased networking and partnering in the aeronautics R&D community, measured by determining the greater extent of FP7 consortium arrangements, and range and number of EU partner organisations with which SA and identified African countries collaborate; and • The extent to which cooperative relationships are leveraged through joint identification of needs and priorities for collaboration.",,
137,605512,AERODAYSUK2015,Aerodays 2015 - Aviation for Growth and Sustainability,"The project covers the provision of the Aerodays event in 2015, which the participants propose shall take place in London, UK. Aerodays2015 will be a four-day event attracting some 800 visitors from across the European, and beyond, aviation and aeronautics sector . It will comprise of technical reviews via conferences and poster sessions, high-level policy briefings and debate, and a technological showcase of EC-sponsored research outcomes in the form of a large exhibition and technology demonstrators.  The Event will disseminate results and demonstrations from flagship programmes in the sector such as SESAR and CleanSky, and will also encompass social and networking activities to stimulate future collaborations within Horizon2020. Aerodays2015 will make provision for the inclusion of young researchers to ensure the ‘next generation’ are engaged with future programmes and recent developments.The proposal is led the UK’s Trade Association in the sector with support from the Aerospace Knowledge Transfer Network , with whom ADS Group Ltd has a contractual relationship. The proposal is supported by UK Government, in the form of the Department for Business, Innovation and Skills, including Ministerial support, time in kind and financial sponsorship. There is also substantial Industry support coalesced around the proposal in the form of in-kind contributions in support of various aspect of the event, as well as direct monetary support in the form of sponsorship. The Royal Aeronautical Society has pledged its support to the successful delivery of this event and will coordinate efforts across the Council of European Aeronautical Societies.The proposal team will work with transport, hotel and other providers to ensure a cost-effective Aerodays2015 that proves affordable to participants and excellent value for money for all stakeholders. The project team will work closely in collaboration with the EC to ensure high-value, current and relevant content for the event.",,
138,101017626,PJ38-W3-ADSCENSIO,ADS-C ENables and Supports Improved ATM Operations,"The proposal is part of the general principle of Trajectory Based Operations, aiming at improving various features of Air Traffic Control thanks to a better anticipation of how flights would behave.During the execution of a flight, major elements to feed an accurate and reliable trajectory prediction -or alternate scenarios- can be provided by the aircraft itself. These elements can be: wind conditions, speed schedule or the trajectory prediction computed by the aircraft navigation system itself, which consists in a suite of positions, altitude and time (“4 Dimensions”).Some aircraft operated by European airlines already have the capacity to send those elements via a datalink communication application.The objectives of the proposal are to demonstrate both:·        the improvements that can be achieved in many common operational situations that Air Traffic Controllers have to manage, and·        the efficiency and robustness of a technological infrastructure to support the datalink communications between the aircraft and various ground consumers for trajectory related exchanges.Implementation of technical and operational solutions will primarily induce a reduction of Controllers’ workload in high traffic condition, hence enhancing airspace capacity. Another effect resulting from earlier and assisted Controllers decision will allow to reduce flight delays, fuel burn and CO2 emissions. They are key to reach the target set for aviation industry in the perspective of reducing its environmental impact.PJ38 continues previous SESAR initiatives and is the main contributor to prepare the industrial implementation as required by the Common Project #1. The associated implementing rule demands by 2027:·        the European Air Navigation Service Providers’ ground systems to be capable to make use of aircraft trajectory data·        45% of flights in Europe to have the capacity to share trajectory.""""",,
139,641336,FUSES 2014,CURRENT LIMITING DEVICE TO ADDRESS DC AERONAUTICS POWER DISTRIBUTION SYSTEMS,"Electrical Power Distribution Systems (EPDS) employed among others in Aeronautics are usually protected by active electronic driven switching components. In order to reduce response time and simplify protection driving, fuses are being considered as one of the prerequisite for the CleanSky HVDC network.The development of a new generation of hybrid and/or full static current limiter solutions, able to operate above 51000ft, is crucial for specificities of aircraft applications. From one side fuses technologies could be adapted to parts of the requirements but may not fully comply. On the other side, the material properties of Silicon Carbide as semiconductor, clearly superior to those of Si, should lead to enhanced hybrid current limiters with much better performance than conventional fuses or Si based solutions.Pooling a leading fuses and protection devices manufacturer, and two research groups, FUSES 2014 aims at a breakthrough in current protection technology to build either a hybrid and/or a full static current limiter solution with different benefits than existing solutions. Well stablished and new methodologies will be adapted to fuses and SiC technologies and optimized to make them a practical reality.The main targets are study, optimize two solutions and validate the optical module following DO160 standard adapted to high DC voltage networks to be integrated into aircraft EPDS:• A required specs Silver fuse and specific package.• A SiC current limiter using existing SiC FET technologies plus its optimal packaging configuration.",,
140,945548,GAM-2020-REG,REGIONAL AIRCRAFT 2020-2023,"An aircraft that can transport between approximately 30 and 100 passengers, and is intended for short and medium haul flights can be considered to be a Regional Aircraft. The challenge is to improve the passenger experience so that regional aircraft offer a comparable level of inflight comfort, free from noise and vibration, with a comfort level comparable or better than today’s modern jets and with a reliability of service well beyond today’s service into small and regional airports.The global strategy of the REG IADP is to integrate and validate, at a/c level, advanced technologies for regional and multi-missions aircraft, so as to drastically de-risk their integration on future products. The goal is to accelerate the innovation enabling regional and multi-missions vehicle products and services that will bring significantly environmental and socio-economic benefits as soon as they are technically and economically viable.",,
141,886513,INSAT,INNOVATIVE SYSTEM FOR AIRCRAFT FUNCTIONAL TESTING,"The objective of the proposal is the design and development of an innovative system for the functional testing of aircraft.  The key development and innovation points are:  Autonomous working mode, potentially in the absence of the operator, along with the autonomous management of the failures (smart assistance for error management); should a failure be detected, the system will propose the possible causes, also generating a non-compliance form, without the intervention of one operator.   Shrink the time needed to produce a complete ATP (Acceptance Test Procedure), along with the necessary reporting.  Distributed architecture: the complexity and wired links length is significantly reduced by adopting a multi-function main unit, wireless connected with interchangeable peripherals and thus simply placing a single (small) unit near the device to be monitored.  High modularity, achieved by: 1) a variable number of boards that can be plugged on the bus; 2) different peripheral modules that can be included in the architecture.  Completeness: the test bench will perform a complete sequence of tests, providing the stimulation signal and verifying the correctness of the results.  Logging: the results achieved by each individual test will be recorded, ensuring the future traceability (logging mode active for both the main unit and peripherals).  The architecture of the system will consist of:  1) a rugged PC, working as a global controller, connected with the company server.  2) a series of peripheral units, connected with the measurement points and wirelessly linked to the controller.",,
142,101017702,AMU-LED,Air Mobility Urban - Large Experimental Demonstrations,"The revolution of Urban Air Mobility encompasses new concepts of operations, business cases, applicable regulations, and stakeholders and end users. This new business sector needs to be secured, invented, refined, structured and industrialized while staying sustainable and interoperable within the U-space framework.U-space and Urban Air Mobility (UAM) are topics where a fast increase in research, innovation and real use implementation is previewed in this project, where SESAR is highly interested to foster and facilitate the development of avant-garde solutions in UAM.In the near future, safe, secure, green and acceptable UAM solutions will bring seamless freight, emergency, security and mobility services. Operators, Regulators, Traffic Management, End Users, Public and Airborne industry must collaborate to ensure UAM vehicle airworthiness and viable operations.The consortium is composed of all relevant stakeholders:•Aerospace Research Institutes•Aerospace Universities•UAS and eVTOLs (Air Taxis)•Aviation and air traffic management engineering and consultancy•Aviation data management•Air Navigation Service Providers•Airport Authorities•U-Space Service Providers•UAS operators•Ground Infrastructure Providers (vertiports…)•Mobile Communication Service Providers•Advisory Board: National Civil Aviation Authorities, City Councils and Regional Governments, European bodiesThe study proposes to design and deliver a detailed concept of operations and definition of urban air missions followed by simulations and a large real flight demonstration campaign to verify and validate the concepts. Our project will allow UAM stakeholders to specify various Use cases applicable to logistics and urban transport of passengers, to design or integrate UAM environment, to test the UAS ground and airborne platforms and finally, to assess safety, security, sustainability and public acceptance.The flight demonstrations will accumulate more than 100 hours and flights.",,
143,619992,AIR,Active and Isolated Rectifier unit for more electric aircraft: Design and Manufacturing of a 10KW AC-DC Converter Unit (AIR),"New challenges for the Active and Isolated Rectifier Units (High performance TRUs) to support the MEA concept are demanding deep changes compared with the conventional TRUs. INDRA and CEI-UPM, the consortium that is presenting this proposal, has a wide experience in the area of high performance TRUs for the new aircraft requirementsThe basic architecture that allows for these high performance TRUs has three stages: 1) EMI filter to meet the EMI standards, 2) Active Three-Phase rectifier to control the demanded sinusoidal current (THD and PFC) as well as control the output dc voltage (VBUS DC) and 3) isolated dc/dc converter that provides galvanic isolation, adapts the voltage and power to the specifications (28V) and it can be in charged of some control capabilities (battery charge mode, voltage source mode, current source mode, some protections).Within this project, this basic architecture will be considered and compared with the multiphase solution (several converters shifted and operating in parallel) as well as some active and isolated rectifiers proposed in the state of the art. For the isolated dc/dc stage, advanced topology solutions with soft transitions will be analysed since they allow to operate at higher frequencies, reducing the weight of the final unit. A topology recently proposed by UPM-CEI [18] is really appropriate for this application since it presents almost zero switching losses.A review of the state of the art has been done and the consortium is proposing to meet about 1.5kW/kg for the whole EMI + AC/DC + isolated DC/DC. This objective is based on the experience in previous project, and it is a goal beyond of the state of the art (about +20% or +25% higher power/weight ratio). It is doable thanks to the use of high frequencies combined with soft switching techniques. Besides, the use of new SiC and GaN semiconductors will be analysed and consider in the design since they allow for higher temperature operation as well as higher frequencies.",,
